Fecha;País;Competidor;Descriptor;TM;Precio CIF ($/TM);PPTO Precio CIF ($/TM)
31/01/13;HN;Cargill;Maíz;3675.3620;338.3700;
28/02/13;HN;Cargill;Maíz;3642.5900;341.9200;
31/03/13;HN;Cargill;Maíz;9898.0400;312.0800;
30/04/13;HN;Cargill;Maíz;12228.0000;298.6700;
31/05/13;HN;Cargill;Maíz;;;
30/06/13;HN;Cargill;Maíz;10000.0000;292.6000;
31/07/13;HN;Cargill;Maíz;9578.5450;288.9100;
31/08/13;HN;Cargill;Maíz;23942.2760;262.1300;
30/09/13;HN;Cargill;Maíz;;;
31/10/13;HN;Cargill;Maíz;13685.0000;235.7000;
30/11/13;HN;Cargill;Maíz;14925.0000;229.1800;
31/12/13;HN;Cargill;Maíz;4518.4900;230.4600;
31/01/13;HN;IPHON;Maíz;9690.4200;340.0400;
28/02/13;HN;IPHON;Maíz;;;
31/03/13;HN;IPHON;Maíz;9626.2700;329.4100;
30/04/13;HN;IPHON;Maíz;12400.0000;315.2900;
31/05/13;HN;IPHON;Maíz;13000.0000;304.7700;
30/06/13;HN;IPHON;Maíz;13800.0000;301.2500;
31/07/13;HN;IPHON;Maíz;;;
31/08/13;HN;IPHON;Maíz;13529.8560;298.6700;
30/09/13;HN;IPHON;Maíz;15080.0000;262.9500;
31/10/13;HN;IPHON;Maíz;11702.0000;249.0000;
30/11/13;HN;IPHON;Maíz;;;
31/12/13;HN;IPHON;Maíz;10999.5400;243.4000;
31/01/13;HN;Aviconsa;Maíz;;335.5800;
28/02/13;HN;Aviconsa;Maíz;;338.6300;
31/03/13;HN;Aviconsa;Maíz;;339.1900;
30/04/13;HN;Aviconsa;Maíz;;313.7500;
31/05/13;HN;Aviconsa;Maíz;;306.8500;
30/06/13;HN;Aviconsa;Maíz;;285.2500;
31/07/13;HN;Aviconsa;Maíz;;306.0413;
31/08/13;HN;Aviconsa;Maíz;;280.0000;
30/09/13;HN;Aviconsa;Maíz;;;
31/10/13;HN;Aviconsa;Maíz;;;
30/11/13;HN;Aviconsa;Maíz;;;
31/12/13;HN;Aviconsa;Maíz;;;
31/01/13;HN;Cargill;Soya;5747.7240;567.3614;
28/02/13;HN;Cargill;Soya;7898.3460;557.6800;
31/03/13;HN;Cargill;Soya;8015.2800;542.7400;
30/04/13;HN;Cargill;Soya;5728.4700;494.5300;
31/05/13;HN;Cargill;Soya;6600.0000;522.7700;
30/06/13;HN;Cargill;Soya;;;
31/07/13;HN;Cargill;Soya;14317.1240;557.3570;
31/08/13;HN;Cargill;Soya;5004.5940;594.0900;
30/09/13;HN;Cargill;Soya;11383.0200;592.3700;
31/10/13;HN;Cargill;Soya;11183.0000;586.1938;
30/11/13;HN;Cargill;Soya;2221.0000;639.0000;
31/12/13;HN;Cargill;Soya;3548.5000;557.5300;
31/01/13;HN;IPHON;Soya;7260.4600;562.7800;
28/02/13;HN;IPHON;Soya;;;
31/03/13;HN;IPHON;Soya;5388.0700;540.8700;
30/04/13;HN;IPHON;Soya;5800.0000;540.6200;
31/05/13;HN;IPHON;Soya;6000.0000;497.2900;
30/06/13;HN;IPHON;Soya;5604.0000;507.2500;
31/07/13;HN;IPHON;Soya;;;
31/08/13;HN;IPHON;Soya;5113.7080;530.2700;
30/09/13;HN;IPHON;Soya;6930.0000;518.1900;
31/10/13;HN;IPHON;Soya;7700.0000;527.0000;
30/11/13;HN;IPHON;Soya;;;
31/12/13;HN;IPHON;Soya;7699.8900;527.8100;
31/01/13;HN;Aviconsa;Soya;;559.5700;
28/02/13;HN;Aviconsa;Soya;;535.1900;
31/03/13;HN;Aviconsa;Soya;;512.8900;
30/04/13;HN;Aviconsa;Soya;;494.6500;
31/05/13;HN;Aviconsa;Soya;;508.5600;
30/06/13;HN;Aviconsa;Soya;;;
31/07/13;HN;Aviconsa;Soya;;582.9122;
31/08/13;HN;Aviconsa;Soya;;;
30/09/13;HN;Aviconsa;Soya;;600.2600;
31/10/13;HN;Aviconsa;Soya;;;
30/11/13;HN;Aviconsa;Soya;;;
31/12/13;HN;Aviconsa;Soya;;;
31/01/14;HN;Cargill;Maíz;0.0000;0.0000;
28/02/14;HN;Cargill;Maíz;6804.0990;210.4800;
31/03/14;HN;Cargill;Maíz;7857.5050;219.8800;
30/04/14;HN;Cargill;Maíz;25869.4200;247.9200;
31/05/14;HN;Cargill;Maíz;0.0000;0.0000;
30/06/14;HN;Cargill;Maíz;12486.0000;253.3820;
31/07/14;HN;Cargill;Maíz;15400.0000;248.2714;
31/08/14;HN;Cargill;Maíz;12778.2200;226.7900;
30/09/14;HN;Cargill;Maíz;8078.9400;202.6700;
31/10/14;HN;Cargill;Maíz;9338.6190;193.8000;
30/11/14;HN;Cargill;Maíz;10840.0220;205.7200;
31/12/14;HN;Cargill;Maíz;14258.1640;216.8400;
31/01/14;HN;IPHON;Maíz;14087.3400;217.0500;
28/02/14;HN;IPHON;Maíz;6089.8800;238.1800;
31/03/14;HN;IPHON;Maíz;13300.0000;231.5700;
30/04/14;HN;IPHON;Maíz;11463.9900;231.5400;
31/05/14;HN;IPHON;Maíz;14171.0800;239.7800;
30/06/14;HN;IPHON;Maíz;12025.0000;246.1000;
31/07/14;HN;IPHON;Maíz;14343.5400;247.6700;
31/08/14;HN;IPHON;Maíz;11614.9000;234.8200;
30/09/14;HN;IPHON;Maíz;0.0000;;
31/10/14;HN;IPHON;Maíz;10992.0000;203.7200;
30/11/14;HN;IPHON;Maíz;11000.0000;203.1600;
31/12/14;HN;IPHON;Maíz;;;
31/01/14;HN;Aviconsa;Maíz;;0.0000;
28/02/14;HN;Aviconsa;Maíz;;0.0000;
31/03/14;HN;Aviconsa;Maíz;;233.4500;
30/04/14;HN;Aviconsa;Maíz;;0.0000;
31/05/14;HN;Aviconsa;Maíz;;242.3200;
30/06/14;HN;Aviconsa;Maíz;;245.0100;
31/07/14;HN;Aviconsa;Maíz;;;
31/08/14;HN;Aviconsa;Maíz;;239.5492;
30/09/14;HN;Aviconsa;Maíz;;;
31/10/14;HN;Aviconsa;Maíz;;217.1972;
30/11/14;HN;Aviconsa;Maíz;;216.2100;
31/12/14;HN;Aviconsa;Maíz;;227.5200;
31/01/14;HN;Cargill;Soya;3699.7740;569.7000;
28/02/14;HN;Cargill;Soya;5890.2300;548.4000;
31/03/14;HN;Cargill;Soya;4415.1110;587.2800;
30/04/14;HN;Cargill;Soya;16496.0000;621.3300;
