Date,Open,High,Low,Close,Adj Close,Volume,Symbol,actualizacion
2010-01-05,1.0407,1.041,1.0336,1.0395,1.0395,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-06,1.0392,1.0407,1.0313,1.0319,1.0319,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-07,1.0315,1.0369,1.0290000000000001,1.034,1.034,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-08,1.0338,1.0382,1.0296,1.0298,1.0298,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-11,1.0281,1.0341,1.025,1.0338,1.0338,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-12,1.0339,1.0412,1.0312,1.0392,1.0392,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-13,1.0392,1.0409,1.0287,1.0308,1.0308,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-14,1.031,1.0319,1.0223,1.0234,1.0234,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-15,1.0235,1.0311,1.0234,1.0290000000000001,1.0290000000000001,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-18,1.0292,1.0311,1.0246,1.0248,1.0248,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-19,1.0253,1.0345,1.0247,1.0317,1.0317,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-20,1.0316,1.0486,1.031,1.0452,1.0452,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-21,1.0453,1.0522,1.0437,1.0506,1.0506,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-22,1.0507,1.0598,1.0461,1.0574,1.0574,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-25,1.0565,1.0611,1.0531,1.0569,1.0569,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-26,1.0568,1.0691,1.0544,1.0621,1.0621,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-27,1.062,1.0685,1.0608,1.0636,1.0636,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-28,1.0637,1.0678,1.0556,1.0661,1.0661,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-01-29,1.0659999999999998,1.0703,1.0621,1.07,1.07,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-01,1.0681,1.0718,1.0605,1.0617,1.0617,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-02,1.062,1.0636,1.0563,1.05718,1.05718,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-03,1.0569,1.063,1.0543,1.0618,1.0618,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-04,1.0616,1.075,1.0596,1.072,1.072,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-05,1.0719,1.0779,1.0646,1.0709,1.0709,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-08,1.0713,1.0767,1.0657,1.07458,1.07458,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-09,1.0746,1.0754,1.0645,1.0672,1.0672,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-10,1.0672,1.0706,1.06,1.062,1.062,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-11,1.0618,1.0618,1.04805,1.0502,1.0502,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-12,1.05,1.0576,1.0488,1.05045,1.05045,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-15,1.0504,1.053,1.0464,1.04916,1.04916,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-16,1.0494,1.0496,1.0408,1.0434,1.0434,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-17,1.0432,1.0467,1.041,1.0462,1.0462,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-18,1.0459,1.0514,1.0398,1.05031,1.05031,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-19,1.05,1.0528,1.03891,1.0392,1.0392,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-22,1.0387,1.0438,1.0368,1.0422,1.0422,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-23,1.0416,1.0577,1.038,1.055,1.055,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-24,1.0546,1.0588,1.051,1.0527,1.0527,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-25,1.0522,1.0676,1.0513,1.0609,1.0609,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-02-26,1.061,1.0616,1.051,1.0515,1.0515,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-01,1.0511,1.057,1.0407,1.0414,1.0414,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-02,1.0415,1.044,1.0309,1.03451,1.03451,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-03,1.0349,1.0359,1.0274,1.0318,1.0318,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-04,1.0319,1.0338,1.0271,1.0312,1.0312,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-05,1.0312,1.0329,1.026,1.0288,1.0288,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-08,1.0265,1.0291,1.0253,1.0279,1.0279,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-09,1.0276,1.0316,1.0236,1.0268,1.0268,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-10,1.0264,1.02886,1.0218,1.0254,1.0254,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-11,1.0253,1.0315,1.0229,1.0235,1.0235,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-12,1.0235,1.0246,1.0154,1.0189,1.0189,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-15,1.0165,1.0228,1.0165,1.0189,1.0189,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-16,1.0190000000000001,1.02,1.0132,1.0133,1.0133,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-17,1.0133,1.0141,1.0070000000000001,1.0102,1.0102,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-18,1.0102,1.015,1.0088,1.0136,1.0136,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-19,1.0134,1.0186,1.0061,1.0165,1.0165,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-22,1.0165,1.0241,1.0146,1.01681,1.01681,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-23,1.0166,1.0226,1.0151,1.01643,1.01643,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-24,1.0164,1.0276,1.01563,1.0235,1.0235,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2010-03-25,1.0233,1.0247,1.0170000000000001,1.02369,1.02369,0.0,USDCAD=X,2020-10-18 20:38:42.780037
